측정소,year,월,일,시,CO,NO₂,PM10,PM2.5,Temp,direction(wind),speed(wind),Precipitation,humidity
701 광복동,2014,1,1,1,0.6,0.023,129,,7.1,270,8.3,,49
701 광복동,2014,1,1,2,0.6,0.023,135,,6.6,270,6.6,,51
701 광복동,2014,1,1,3,0.5,0.017,132,,6.4,270,6.6,,51
701 광복동,2014,1,1,4,0.5,0.018,146,,6.2,270,5.3,,48
701 광복동,2014,1,1,5,0.5,0.019,145,,5.8,,6,,51
701 광복동,2014,1,1,6,0.5,0.019,140,,5.4,,5.9,,50
701 광복동,2014,1,1,7,0.5,0.02,137,,5.2,,6.5,,43
701 광복동,2014,1,1,8,0.5,0.017,135,,5.3,290,4.8,,41
701 광복동,2014,1,1,9,0.6,0.024,135,,5,250,1.8,,43
701 광복동,2014,1,1,10,0.6,0.02,135,,6.3,250,2.8,,40
701 광복동,2014,1,1,11,0.6,0.019,141,,7.6,250,4.2,,40
701 광복동,2014,1,1,12,0.6,0.014,144,,8.5,250,5.1,,40
701 광복동,2014,1,1,13,0.6,0.016,151,,8.9,250,6.5,,37
701 광복동,2014,1,1,14,0.6,0.018,142,,9.4,250,6.3,,38
701 광복동,2014,1,1,15,0.6,0.018,139,,9.4,270,8.3,,38
701 광복동,2014,1,1,16,0.5,0.016,140,,9.7,250,7.5,,36
701 광복동,2014,1,1,17,0.5,0.018,118,,9.7,250,6.5,,33
701 광복동,2014,1,1,18,0.5,0.023,106,,8.9,270,4,,33
701 광복동,2014,1,1,19,0.4,0.018,92,,8.6,270,6.3,,25
701 광복동,2014,1,1,20,0.4,0.019,74,,8,270,4.5,,22
701 광복동,2014,1,1,21,0.4,0.023,90,,7.6,270,5.4,,24
701 광복동,2014,1,1,22,0.3,0.021,83,,7.3,270,5.3,,30
701 광복동,2014,1,1,23,0.4,0.025,90,,6.8,270,4.8,,31
701 광복동,2014,1,1,24,0.4,0.023,121,,6.7,270,4.3,,36
701 광복동,2014,1,2,1,0.5,0.021,126,,6.3,270,4,,38
701 광복동,2014,1,2,2,0.5,0.021,137,,6.2,290,4.7,,42
701 광복동,2014,1,2,3,0.6,0.021,134,,6,290,4.4,,42
701 광복동,2014,1,2,4,0.6,0.026,137,,5.9,270,5.4,,43
701 광복동,2014,1,2,5,0.7,0.029,134,,5.7,270,4.5,,45
701 광복동,2014,1,2,6,0.6,0.032,134,,4.9,270,2.3,,49
701 광복동,2014,1,2,7,0.6,0.042,127,,4.8,340,1.9,,44
701 광복동,2014,1,2,8,0.6,0.043,128,,3.9,270,2,,53
701 광복동,2014,1,2,9,0.7,0.041,143,,4.5,340,2.3,,50
701 광복동,2014,1,2,10,0.5,0.023,138,,7,250,1.6,,44
701 광복동,2014,1,2,11,0.4,0.017,95,,8.3,340,2.1,,28
701 광복동,2014,1,2,12,0.4,0.022,79,,8.3,340,2.6,,30
701 광복동,2014,1,2,13,0.4,0.016,77,,9.7,340,1.7,,23
701 광복동,2014,1,2,14,0.4,0.016,65,,9.2,320,1.8,,23
701 광복동,2014,1,2,15,0.3,0.014,65,,11.7,270,4.6,,21
701 광복동,2014,1,2,16,점검,점검,점검,,11.5,320,3.2,,19
701 광복동,2014,1,2,17,0.4,0.028,42,,10.7,290,2,,18
701 광복동,2014,1,2,18,0.5,0.041,64,,9.4,270,3.3,,24
701 광복동,2014,1,2,19,0.8,0.054,66,,7.6,340,1.7,,28
701 광복동,2014,1,2,20,0.7,0.051,75,,7.3,360,2.4,,26
701 광복동,2014,1,2,21,0.7,0.05,62,,7.1,340,2.3,,26
701 광복동,2014,1,2,22,0.6,0.046,60,,7.3,340,1.9,,23
701 광복동,2014,1,2,23,0.7,0.052,60,,6.2,0,0.2,,33
701 광복동,2014,1,2,24,0.6,0.048,64,,5.6,320,1.5,,29
701 광복동,2014,1,3,1,0.6,0.04,63,,5.3,360,1.7,,31
701 광복동,2014,1,3,2,0.4,0.021,53,,5.5,340,1.3,,28
701 광복동,2014,1,3,3,0.3,0.016,43,,6,340,4.2,,24
701 광복동,2014,1,3,4,0.3,0.012,39,,6.2,340,4.2,,24
701 광복동,2014,1,3,5,0.3,0.018,31,,6.2,340,4.2,,24
701 광복동,2014,1,3,6,0.3,0.017,32,,5.9,360,4.1,,25
701 광복동,2014,1,3,7,0.3,0.024,35,,5.7,340,4.9,,25
701 광복동,2014,1,3,8,0.4,0.036,32,,5.8,340,3.3,,25
701 광복동,2014,1,3,9,0.8,0.056,44,,5.1,290,0.7,,28
701 광복동,2014,1,3,10,0.8,0.058,75,,6.5,200,0.6,,29
701 광복동,2014,1,3,11,0.6,0.038,91,,7.9,340,3.3,,23
701 광복동,2014,1,3,12,0.6,0.032,61,,9.7,250,1.7,,23
701 광복동,2014,1,3,13,0.6,0.031,64,,10.3,290,2.7,,21
701 광복동,2014,1,3,14,0.5,0.033,63,,11.8,270,3.8,,18
701 광복동,2014,1,3,15,0.5,0.037,73,,12.5,320,1.9,,18
701 광복동,2014,1,3,16,0.5,0.039,76,,12.8,270,3.2,,19
701 광복동,2014,1,3,17,0.6,0.052,91,,11.7,290,1.7,,21
701 광복동,2014,1,3,18,0.8,0.06,92,,10.2,320,2.5,,24
701 광복동,2014,1,3,19,0.9,0.061,117,,9.2,340,2.6,,25
701 광복동,2014,1,3,20,1,0.062,94,,8.4,290,1.1,,27
701 광복동,2014,1,3,21,1,0.06,78,,8.2,70,1,,29
701 광복동,2014,1,3,22,0.9,0.057,76,,7.2,0,0.4,,31
701 광복동,2014,1,3,23,0.7,0.051,64,,7.1,320,0.7,,32
701 광복동,2014,1,3,24,0.6,0.05,56,,6.8,340,1.4,,27
701 광복동,2014,1,4,1,0.4,0.035,54,,6.6,360,1.1,,34
701 광복동,2014,1,4,2,0.4,0.023,54,,7,360,2.2,,27
701 광복동,2014,1,4,3,0.4,0.025,49,,6.8,360,4.5,,26
701 광복동,2014,1,4,4,0.4,0.028,51,,6.6,360,4.2,,27
701 광복동,2014,1,4,5,0.4,0.025,55,,6.5,360,3,,31
701 광복동,2014,1,4,6,0.4,0.028,55,,5.3,320,1.3,,37
701 광복동,2014,1,4,7,0.4,0.018,67,,5.5,340,3.6,,46
701 광복동,2014,1,4,8,0.5,0.031,105,,5.5,340,3.5,,51
701 광복동,2014,1,4,9,0.6,0.038,110,,4.7,20,1.4,,53
701 광복동,2014,1,4,10,0.6,0.031,112,,6.6,160,0.6,,48
701 광복동,2014,1,4,11,0.5,0.026,121,,8.7,20,3.4,,40
701 광복동,2014,1,4,12,0.6,0.033,97,,10.1,50,2.1,,39
701 광복동,2014,1,4,13,0.5,0.027,112,,11.2,20,1.1,,36
701 광복동,2014,1,4,14,0.5,0.031,86,,11.7,160,2,,35
701 광복동,2014,1,4,15,0.5,0.03,80,,12,180,3,,36
701 광복동,2014,1,4,16,0.4,0.027,75,,10.9,70,2.8,,45
701 광복동,2014,1,4,17,0.4,0.031,57,,9.3,70,2.8,,49
701 광복동,2014,1,4,18,0.5,0.038,63,,8.5,70,1.8,,53
701 광복동,2014,1,4,19,0.5,0.038,46,,7.3,50,2.6,,54
701 광복동,2014,1,4,20,0.5,0.036,57,,6.5,50,4.1,,62
701 광복동,2014,1,4,21,0.4,0.027,45,,5.8,50,4.3,,69
701 광복동,2014,1,4,22,0.4,0.026,25,,5.9,50,2.5,,70
701 광복동,2014,1,4,23,0.4,0.021,19,,5.3,50,3.7,,72
701 광복동,2014,1,4,24,0.4,0.018,22,,5.1,50,4.1,,71
701 광복동,2014,1,5,1,0.4,0.013,18,,4.9,50,3.2,,71
701 광복동,2014,1,5,2,0.3,0.01,18,,5.1,20,3.9,,68
701 광복동,2014,1,5,3,0.3,0.008,19,,5,50,3.2,,68
701 광복동,2014,1,5,4,0.3,0.008,13,,4.5,20,4.2,,71
701 광복동,2014,1,5,5,0.4,0.011,22,,4.5,20,3.1,,71
701 광복동,2014,1,5,6,0.4,0.014,22,,5.1,20,3.6,,68
701 광복동,2014,1,5,7,0.4,0.017,30,,4.9,70,1.6,,69
701 광복동,2014,1,5,8,0.4,0.015,28,,4,50,1.8,,71
701 광복동,2014,1,5,9,0.4,0.015,22,,3.7,290,1.1,,72
701 광복동,2014,1,5,10,0.5,0.015,24,,5.4,290,1.1,,66
701 광복동,2014,1,5,11,0.5,0.017,35,,7.4,340,1.2,,60
701 광복동,2014,1,5,12,0.4,0.015,49,,8.3,320,3.7,,58
701 광복동,2014,1,5,13,0.4,0.017,32,,10.2,360,2.3,,48
701 광복동,2014,1,5,14,0.5,0.015,45,,10.9,320,2.5,,37
701 광복동,2014,1,5,15,0.4,0.014,67,,10.6,340,2,,33
701 광복동,2014,1,5,16,0.4,0.015,44,,11.1,290,2.5,,28
701 광복동,2014,1,5,17,0.4,0.017,46,,10,270,1.7,,36
701 광복동,2014,1,5,18,0.4,0.022,52,,8.6,360,3.5,,26
701 광복동,2014,1,5,19,0.4,0.018,39,,7.1,360,5.4,,25
701 광복동,2014,1,5,20,0.4,0.024,60,,6.2,360,3.9,,27
701 광복동,2014,1,5,21,0.4,0.026,66,,5.3,360,3.2,,30
701 광복동,2014,1,5,22,0.4,0.02,68,,4.9,320,2.9,,32
701 광복동,2014,1,5,23,0.4,0.023,70,,4.3,320,2,,35
701 광복동,2014,1,5,24,0.4,0.014,68,,3.9,360,5,,35
701 광복동,2014,1,6,1,0.4,0.011,64,,3.5,20,2.5,,34
701 광복동,2014,1,6,2,0.4,0.012,67,,3.6,360,6.6,,34
701 광복동,2014,1,6,3,0.5,0.013,57,,3.2,180,2.1,,35
701 광복동,2014,1,6,4,0.5,0.016,69,,2.7,50,1.7,,36
701 광복동,2014,1,6,5,0.5,0.017,66,,2.1,320,1.7,,38
701 광복동,2014,1,6,6,0.5,0.02,77,,1.5,320,4.6,,41
701 광복동,2014,1,6,7,0.6,0.027,82,,1.5,340,4.4,,41
701 광복동,2014,1,6,8,0.6,0.039,79,,0.7,320,1.4,,43
701 광복동,2014,1,6,9,0.6,0.038,87,,0.9,340,0.9,,39
701 광복동,2014,1,6,10,0.6,0.029,90,,4.2,20,3.6,,33
701 광복동,2014,1,6,11,0.6,0.026,83,,6.5,50,3.2,,33
701 광복동,2014,1,6,12,0.6,0.027,75,,8,20,2,,32
701 광복동,2014,1,6,13,0.6,0.026,80,,9.2,20,2.2,,30
701 광복동,2014,1,6,14,0.6,0.032,92,,9.6,160,1.4,,31
701 광복동,2014,1,6,15,0.6,0.039,89,,10.5,140,2.1,,31
701 광복동,2014,1,6,16,점검,점검,점검,,10.2,180,2.8,,32
701 광복동,2014,1,6,17,0.6,0.047,88,,9.2,200,2.9,,32
701 광복동,2014,1,6,18,0.7,0.049,102,,7.8,270,2.8,,33
701 광복동,2014,1,6,19,0.8,0.06,111,,6.2,320,2.4,,35
701 광복동,2014,1,6,20,0.8,0.06,98,,5.7,320,3.1,,33
701 광복동,2014,1,6,21,0.7,0.052,100,,5.6,340,3.2,,29
701 광복동,2014,1,6,22,0.7,0.054,100,,5.4,340,1.8,,28
701 광복동,2014,1,6,23,0.7,0.055,94,,4.9,0,0.4,,31
701 광복동,2014,1,6,24,0.6,0.046,93,,4.5,340,1.4,,32
701 광복동,2014,1,7,1,0.5,0.03,98,,4.8,340,4.1,,31
701 광복동,2014,1,7,2,0.6,0.037,82,,5,340,4.2,,32
701 광복동,2014,1,7,3,0.6,0.026,87,,4.5,0,0.2,,38
701 광복동,2014,1,7,4,0.5,0.017,81,,4.9,340,4.8,,31
701 광복동,2014,1,7,5,0.5,0.016,79,,4.2,340,3.9,,32
701 광복동,2014,1,7,6,0.5,0.018,78,,4.1,340,4.9,,31
701 광복동,2014,1,7,7,0.5,0.033,73,,4.2,340,4.4,,30
701 광복동,2014,1,7,8,0.5,0.039,70,,4.2,340,4.4,,29
701 광복동,2014,1,7,9,0.5,0.037,74,,4.4,340,3.4,,30
701 광복동,2014,1,7,10,0.5,0.028,81,,6.1,320,4.6,,28
701 광복동,2014,1,7,11,0.5,0.026,67,,6.9,320,3.5,,26
701 광복동,2014,1,7,12,0.5,0.034,75,,7.4,290,3.6,,27
701 광복동,2014,1,7,13,0.6,0.029,94,,8.5,290,3.5,,26
701 광복동,2014,1,7,14,0.6,0.028,90,,9.2,290,3.6,,26
701 광복동,2014,1,7,15,0.6,0.029,86,,10.2,340,2,,28
701 광복동,2014,1,7,16,0.6,0.033,83,,9.8,340,2.6,,30
701 광복동,2014,1,7,17,0.5,0.037,88,,9.2,290,2.7,,32
701 광복동,2014,1,7,18,0.6,0.043,84,,8.6,320,1.6,,34
701 광복동,2014,1,7,19,0.7,0.057,87,,7.6,340,1.7,,35
701 광복동,2014,1,7,20,0.6,0.054,94,,7.1,50,1.2,,36
701 광복동,2014,1,7,21,0.6,0.038,94,,7.4,340,0.9,,34
701 광복동,2014,1,7,22,0.6,0.046,79,,7.5,360,2.1,,35
701 광복동,2014,1,7,23,0.5,0.042,85,,7.1,340,2.9,,36
701 광복동,2014,1,7,24,0.5,0.033,89,,6.7,320,2.8,,36
701 광복동,2014,1,8,1,0.5,0.031,91,,6.3,360,3.5,,36
701 광복동,2014,1,8,2,0.4,0.023,86,,6.2,340,1.8,,37
701 광복동,2014,1,8,3,0.4,0.019,75,,6.2,340,3.3,,36
701 광복동,2014,1,8,4,0.4,0.012,75,,6.6,340,3.1,,35
701 광복동,2014,1,8,5,0.4,0.014,56,,6.7,320,2.6,,35
701 광복동,2014,1,8,6,0.4,0.022,68,,6.6,360,2.6,,35
701 광복동,2014,1,8,7,0.5,0.033,83,,6,320,4.1,,38
701 광복동,2014,1,8,8,0.5,0.036,82,,6.4,70,0.5,,39
701 광복동,2014,1,8,9,0.5,0.046,82,,5.8,340,2.2,,60
701 광복동,2014,1,8,10,0.5,0.04,90,,4.4,360,2.5,0,73
701 광복동,2014,1,8,11,0.6,0.04,68,,3.8,340,0.8,,87
701 광복동,2014,1,8,12,0.5,0.041,60,,3.9,20,1.5,,90
701 광복동,2014,1,8,13,0.5,0.035,51,,3.1,340,3.7,3,91
701 광복동,2014,1,8,14,0.5,0.037,48,,2.7,320,3.4,,92
701 광복동,2014,1,8,15,0.5,0.036,45,,2.3,320,2.3,,93
701 광복동,2014,1,8,16,0.5,0.038,43,,2.6,320,1.4,3.5,93
701 광복동,2014,1,8,17,0.6,0.045,54,,3.1,340,1.3,,92
701 광복동,2014,1,8,18,0.6,0.044,72,,3.2,340,4.7,,90
701 광복동,2014,1,8,19,0.6,0.042,79,,3.3,340,4.4,0.5,86
701 광복동,2014,1,8,20,0.6,0.04,94,,3.7,340,2.9,,81
701 광복동,2014,1,8,21,0.6,0.032,108,,3.9,90,2,,80
701 광복동,2014,1,8,22,0.5,0.033,107,,3.6,340,6.7,,77
701 광복동,2014,1,8,23,0.5,0.037,117,,3,360,3.7,,69
701 광복동,2014,1,8,24,0.5,0.032,122,,3.1,320,2.7,,61
701 광복동,2014,1,9,1,0.5,0.022,115,,2.9,140,4.4,,59
701 광복동,2014,1,9,2,0.4,0.013,103,,2.2,360,8.8,,53
701 광복동,2014,1,9,3,0.3,0.009,66,,1.3,360,5.8,,39
701 광복동,2014,1,9,4,0.2,0.008,26,,0.2,20,3.7,,37
701 광복동,2014,1,9,5,0.2,0.008,27,,-0.7,90,2.9,,29
701 광복동,2014,1,9,6,0.2,0.009,27,,-1.5,20,3.8,,31
701 광복동,2014,1,9,7,0.3,0.013,19,,-2.1,360,4.3,,26
701 광복동,2014,1,9,8,0.3,0.016,24,,-2.8,360,3.1,,30
701 광복동,2014,1,9,9,0.3,0.019,32,,-3.1,340,3.1,,30
701 광복동,2014,1,9,10,0.3,0.015,35,,-1.7,360,2.4,,24
701 광복동,2014,1,9,11,0.3,0.014,31,,-0.4,290,3,,22
701 광복동,2014,1,9,12,0.3,0.013,27,,-0.2,320,3.9,,19
701 광복동,2014,1,9,13,0.3,0.012,26,,0.4,340,3.7,,18
701 광복동,2014,1,9,14,0.3,0.012,27,,1.5,320,3.6,,18
701 광복동,2014,1,9,15,0.3,0.012,25,,2.1,360,2.7,,15
701 광복동,2014,1,9,16,0.3,0.014,30,,2,20,4.4,,16
701 광복동,2014,1,9,17,0.3,0.016,27,,0.9,360,5.3,,15
701 광복동,2014,1,9,18,0.3,0.02,29,,-0.3,360,4.1,,17
701 광복동,2014,1,9,19,0.3,0.023,31,,-1.4,140,4.3,,18
701 광복동,2014,1,9,20,0.3,0.022,29,,-2,200,1.8,,18
701 광복동,2014,1,9,21,0.3,0.017,23,,-2.7,360,4.6,,17
701 광복동,2014,1,9,22,0.3,0.017,20,,-3.3,110,2,,18
701 광복동,2014,1,9,23,0.3,0.015,27,,-4.1,180,1.9,,22
701 광복동,2014,1,9,24,0.2,0.011,23,,-4.7,320,2.6,,22
701 광복동,2014,1,10,1,0.2,0.009,30,,-5.1,360,6.4,,21
701 광복동,2014,1,10,2,0.2,0.009,14,,-5.3,160,2.8,,20
701 광복동,2014,1,10,3,0.3,0.008,19,,-5.3,50,3.4,,24
701 광복동,2014,1,10,4,0.3,0.009,21,,-5.2,20,5,,27
701 광복동,2014,1,10,5,0.3,0.01,31,,-5,70,3.5,,31
701 광복동,2014,1,10,6,0.3,0.011,40,,-4.9,20,4.8,,34
701 광복동,2014,1,10,7,0.3,0.014,44,,-4.9,110,2.5,,37
701 광복동,2014,1,10,8,0.3,0.021,37,,-5,110,2.8,,39
701 광복동,2014,1,10,9,0.4,0.025,43,,-4.4,20,3.1,,43
701 광복동,2014,1,10,10,0.4,0.021,49,,-2.1,360,1.5,,39
701 광복동,2014,1,10,11,0.4,0.018,46,,-0.1,110,1.7,,37
701 광복동,2014,1,10,12,0.4,0.014,48,,0.9,340,2.2,,37
701 광복동,2014,1,10,13,0.4,0.016,50,,1.8,320,2.8,,36
701 광복동,2014,1,10,14,0.4,0.015,50,,2.2,290,3.4,,36
701 광복동,2014,1,10,15,0.4,0.018,52,,3.6,290,2.8,,35
701 광복동,2014,1,10,16,0.4,0.019,51,,4.5,360,2.7,,33
701 광복동,2014,1,10,17,0.4,0.022,44,,3.6,320,2.6,,35
701 광복동,2014,1,10,18,0.4,0.025,52,,2.4,290,3.1,,37
701 광복동,2014,1,10,19,0.5,0.028,60,,1.4,270,1.6,,39
701 광복동,2014,1,10,20,0.5,0.025,49,,1.1,290,2.2,,40
701 광복동,2014,1,10,21,0.5,0.024,66,,1.2,290,2.1,,40
701 광복동,2014,1,10,22,0.5,0.026,79,,0.8,360,1.5,,42
701 광복동,2014,1,10,23,0.5,0.026,79,,0.9,290,2.3,,44
701 광복동,2014,1,10,24,0.5,0.019,85,,0.8,290,2.3,,46
701 광복동,2014,1,11,1,0.5,0.015,80,,0.8,290,2.2,,47
701 광복동,2014,1,11,2,0.5,0.012,83,,0.7,290,3.2,,49
701 광복동,2014,1,11,3,0.5,0.013,90,,0.5,290,3,,50
701 광복동,2014,1,11,4,0.4,0.014,89,,-0.6,340,3.3,,52
701 광복동,2014,1,11,5,0.4,0.015,79,,-1.1,320,1.7,,55
701 광복동,2014,1,11,6,0.4,0.016,80,,-1.1,360,3.1,,55
701 광복동,2014,1,11,7,0.4,0.019,72,,-1.4,250,1.6,,52
701 광복동,2014,1,11,8,0.4,0.02,58,,-1.6,340,1.5,,51
701 광복동,2014,1,11,9,0.5,0.025,64,,-1.3,250,2,,50
701 광복동,2014,1,11,10,0.5,0.028,68,,0.4,320,1.2,,44
701 광복동,2014,1,11,11,0.5,0.021,82,,2.9,180,1.4,,42
701 광복동,2014,1,11,12,0.5,0.017,66,,3.3,320,2.1,,42
701 광복동,2014,1,11,13,0.5,0.014,62,,4.2,270,3,,39
701 광복동,2014,1,11,14,0.5,0.015,64,,5,290,2.7,,36
701 광복동,2014,1,11,15,0.5,0.017,77,,5.1,290,4.8,,37
701 광복동,2014,1,11,16,0.5,0.018,80,,5.9,290,3.9,,35
701 광복동,2014,1,11,17,0.5,0.021,68,,5.3,290,3.7,,35
701 광복동,2014,1,11,18,0.6,0.029,72,,4.4,320,3.6,,37
701 광복동,2014,1,11,19,0.8,0.052,71,,3.3,320,2.6,,40
701 광복동,2014,1,11,20,0.8,0.053,82,,2.5,340,1.7,,41
701 광복동,2014,1,11,21,0.7,0.051,82,,2,360,2.1,,43
701 광복동,2014,1,11,22,0.6,0.044,76,,1.9,360,2.2,,44
701 광복동,2014,1,11,23,0.6,0.036,75,,1.7,340,3.2,,45
701 광복동,2014,1,11,24,0.6,0.039,83,,1.2,360,4.2,,49
701 광복동,2014,1,12,1,0.6,0.027,95,,0.5,320,1.2,,50
701 광복동,2014,1,12,2,0.5,0.022,87,,0.3,360,3.9,,52
701 광복동,2014,1,12,3,0.5,0.018,92,,0.1,360,3.2,,53
701 광복동,2014,1,12,4,0.5,0.014,94,,0.2,360,4.4,,52
701 광복동,2014,1,12,5,0.5,0.015,92,,0.2,360,3.2,,52
701 광복동,2014,1,12,6,0.5,0.017,96,,-0.2,360,3.3,,53
701 광복동,2014,1,12,7,0.5,0.023,98,,-0.4,360,2.9,,54
701 광복동,2014,1,12,8,0.6,0.023,99,,-0.4,340,2.5,,54
701 광복동,2014,1,12,9,0.6,0.021,107,,-0.1,340,2.7,,54
701 광복동,2014,1,12,10,0.6,0.018,107,,1.9,50,1.5,,47
701 광복동,2014,1,12,11,0.6,0.022,119,,3.2,250,2,,44
701 광복동,2014,1,12,12,0.6,0.02,127,,4.3,270,1.4,,42
701 광복동,2014,1,12,13,0.5,0.016,132,,6,290,3.2,,37
701 광복동,2014,1,12,14,0.6,0.019,123,,6,340,2.5,,37
701 광복동,2014,1,12,15,0.6,0.02,121,,6.4,360,1.9,,34
701 광복동,2014,1,12,16,0.6,0.023,130,,7.5,340,2.5,,31
701 광복동,2014,1,12,17,0.6,0.025,119,,7.1,290,1.8,,31
701 광복동,2014,1,12,18,0.6,0.029,118,,5.8,270,3.5,,36
701 광복동,2014,1,12,19,0.8,0.049,117,,4.6,270,2.6,,42
701 광복동,2014,1,12,20,0.7,0.029,120,,4.1,290,2.1,,40
701 광복동,2014,1,12,21,0.6,0.022,116,,3.8,340,2.4,,42
701 광복동,2014,1,12,22,0.6,0.022,116,,3.1,200,0.8,,45
701 광복동,2014,1,12,23,0.6,0.02,124,,2.8,320,1.6,,49
701 광복동,2014,1,12,24,0.6,0.023,119,,2.3,50,1.3,,50
701 광복동,2014,1,13,1,0.6,0.018,131,,1.5,340,1.5,,55
701 광복동,2014,1,13,2,0.6,0.017,120,,0.8,20,1.8,,51
701 광복동,2014,1,13,3,0.6,0.016,122,,0.2,360,4.7,,51
701 광복동,2014,1,13,4,0.6,0.014,114,,-0.5,270,2.7,,44
701 광복동,2014,1,13,5,0.5,0.014,97,,-1.4,320,3.7,,46
701 광복동,2014,1,13,6,0.4,0.014,83,,-1.4,340,5.4,,34
701 광복동,2014,1,13,7,0.3,0.018,44,,-1.9,140,2.7,,30
701 광복동,2014,1,13,8,0.3,0.018,35,,-2,360,4.5,,23
701 광복동,2014,1,13,9,0.3,0.019,26,,-2.5,180,1.3,,26
701 광복동,2014,1,13,10,0.4,0.02,33,,-0.9,20,3.5,,20
701 광복동,2014,1,13,11,0.4,0.021,42,,0.4,320,2.9,,18
701 광복동,2014,1,13,12,0.3,0.018,45,,1,320,4,,17
701 광복동,2014,1,13,13,0.3,0.018,46,,1.9,290,5.4,,15
701 광복동,2014,1,13,14,0.3,0.018,40,,4,320,2.9,,14
701 광복동,2014,1,13,15,0.3,0.019,36,,4.7,360,3.3,,13
701 광복동,2014,1,13,16,0.3,0.02,37,,5.8,340,2.5,,14
701 광복동,2014,1,13,17,0.3,0.024,34,,4.9,290,2.9,,13
701 광복동,2014,1,13,18,0.4,0.035,28,,3.7,340,1.7,,15
701 광복동,2014,1,13,19,0.4,0.042,31,,1.5,340,3.8,,17
701 광복동,2014,1,13,20,0.4,0.037,39,,0.8,340,5.1,,18
701 광복동,2014,1,13,21,0.4,0.034,34,,0.5,340,3.9,,17
701 광복동,2014,1,13,22,0.4,0.032,47,,-0.4,360,3.4,,20
701 광복동,2014,1,13,23,0.4,0.035,37,,-0.8,340,2.4,,21
701 광복동,2014,1,13,24,0.4,0.036,35,,-0.9,340,4.4,,22
701 광복동,2014,1,14,1,0.3,0.027,38,,-1.1,340,4.7,,21
701 광복동,2014,1,14,2,0.3,0.026,36,,-1.2,360,4.9,,21
701 광복동,2014,1,14,3,0.3,0.02,33,,-1.5,360,4.8,,22
701 광복동,2014,1,14,4,0.3,0.016,28,,-1.5,340,5.1,,20
701 광복동,2014,1,14,5,0.3,0.019,25,,-1.7,360,3.6,,21
701 광복동,2014,1,14,6,0.3,0.018,29,,-2.1,340,2.4,,21
701 광복동,2014,1,14,7,0.3,0.021,25,,-2.1,340,5.5,,22
701 광복동,2014,1,14,8,0.3,0.03,31,,-3.1,360,6.9,,26
701 광복동,2014,1,14,9,0.3,0.028,38,,-3.2,340,7,,26
701 광복동,2014,1,14,10,0.4,0.033,42,,-1.8,360,4.6,,24
701 광복동,2014,1,14,11,0.4,0.033,46,,0.6,340,2.4,,23
701 광복동,2014,1,14,12,0.4,0.033,53,,3.7,340,1.3,,20
701 광복동,2014,1,14,13,0.4,0.031,55,,3.7,340,2.5,,19
701 광복동,2014,1,14,14,0.4,0.026,51,,5.2,360,3,,19
701 광복동,2014,1,14,15,점검,점검,점검,,6,340,2.5,,17
701 광복동,2014,1,14,16,점검,점검,점검,,6.4,320,2.9,,17
701 광복동,2014,1,14,17,0.3,0.028,34,,5.9,290,3.3,,16
701 광복동,2014,1,14,18,0.4,0.04,39,,5.1,360,2.8,,16
701 광복동,2014,1,14,19,0.4,0.045,41,,3,360,3.6,,18
701 광복동,2014,1,14,20,0.4,0.035,44,,2.1,360,5.3,,20
701 광복동,2014,1,14,21,0.4,0.031,45,,1.7,360,5.5,,21
701 광복동,2014,1,14,22,0.4,0.031,36,,1.4,360,6,,21
701 광복동,2014,1,14,23,0.3,0.026,35,,0.9,360,5.6,,23
701 광복동,2014,1,14,24,0.4,0.024,40,,0.4,360,5.4,,25
701 광복동,2014,1,15,1,0.4,0.025,42,,0.1,340,6.4,,26
701 광복동,2014,1,15,2,0.4,0.021,43,,-0.3,360,5.3,,27
701 광복동,2014,1,15,3,0.4,0.02,47,,-0.7,360,4.9,,28
701 광복동,2014,1,15,4,0.4,0.02,51,,-0.8,340,2.3,,28
701 광복동,2014,1,15,5,0.4,0.021,55,,-0.8,360,4.2,,28
701 광복동,2014,1,15,6,0.4,0.022,55,,-1.5,360,4.3,,31
701 광복동,2014,1,15,7,0.5,0.027,72,,-1.5,360,7.1,,29
701 광복동,2014,1,15,8,0.4,0.028,64,,-1.9,360,3.1,,30
701 광복동,2014,1,15,9,0.5,0.035,65,,-1.8,340,2.6,,29
701 광복동,2014,1,15,10,0.5,0.034,76,,-0.6,360,3.2,,29
701 광복동,2014,1,15,11,0.5,0.031,78,,1,340,3.9,,28
701 광복동,2014,1,15,12,0.4,0.025,71,,2.8,320,3.1,,25
701 광복동,2014,1,15,13,0.4,0.021,70,,4.7,340,2.6,,22
701 광복동,2014,1,15,14,0.4,0.019,62,,5.4,290,3.9,,21
701 광복동,2014,1,15,15,0.4,0.018,49,,6,290,3.9,,20
701 광복동,2014,1,15,16,0.4,0.018,48,,6.5,290,5,,18
701 광복동,2014,1,15,17,0.4,0.021,29,,6.4,290,3.5,,18
701 광복동,2014,1,15,18,0.4,0.03,34,,5.2,320,2.7,,20
701 광복동,2014,1,15,19,0.5,0.044,37,,3.3,340,2.1,,22
701 광복동,2014,1,15,20,0.5,0.041,51,,2.5,340,2,,23
701 광복동,2014,1,15,21,0.4,0.032,50,,1.9,360,1.7,,24
701 광복동,2014,1,15,22,0.4,0.025,38,,1.5,20,2.2,,26
